time,Ch1,Ch2,Ch3
824,797.07,-1130.6,694.38
825,767.73,-1163.9,669.93
826,782.4,-1149.6,679.71
827,801.96,-1130.6,699.27
828,767.73,-1159.1,669.93
829,777.51,-1154.4,679.71
830,801.96,-1135.4,699.27
831,772.62,-1159.1,669.93
832,777.51,-1154.4,679.71
833,801.96,-1130.6,699.27
834,767.73,-1163.9,669.93
835,772.62,-1163.9,674.82
836,797.07,-1130.6,699.27
837,762.84,-1163.9,669.93
838,772.62,-1159.1,669.93
839,801.96,-1130.6,699.27
840,767.73,-1159.1,669.93
841,772.62,-1159.1,669.93
842,806.85,-1130.6,699.27
843,777.51,-1159.1,674.82
844,777.51,-1159.1,669.93
845,806.85,-1125.9,704.16
846,782.4,-1154.4,674.82
847,772.62,-1163.9,669.93
848,806.85,-1130.6,699.27
849,772.62,-1159.1,679.71
850,767.73,-1168.6,665.04
851,801.96,-1130.6,699.27
852,777.51,-1154.4,679.71
853,762.84,-1168.6,665.04
854,801.96,-1130.6,699.27
855,777.51,-1154.4,679.71
856,767.73,-1168.6,665.04
857,801.96,-1135.4,699.27
858,777.51,-1154.4,679.71
859,757.95,-1168.6,660.15
860,797.07,-1130.6,694.38
861,777.51,-1149.6,679.71
862,757.95,-1173.4,660.15
863,797.07,-1135.4,694.38
864,782.4,-1149.6,684.6
865,762.84,-1173.4,660.15
866,797.07,-1135.4,689.49
867,787.29,-1149.6,684.6
868,757.95,-1173.4,660.15
869,792.18,-1140.1,689.49
870,787.29,-1144.9,684.6
871,762.84,-1168.6,660.15
872,792.18,-1140.1,689.49
873,782.4,-1144.9,689.49
874,757.95,-1173.4,660.15
875,787.29,-1144.9,684.6
876,787.29,-1144.9,689.49
877,757.95,-1173.4,665.04
878,787.29,-1144.9,689.49
879,787.29,-1144.9,689.49
880,762.84,-1168.6,665.04
881,787.29,-1144.9,689.49
882,792.18,-1144.9,689.49
883,762.84,-1168.6,665.04
884,787.29,-1149.6,684.6
885,787.29,-1140.1,689.49
886,757.95,-1168.6,660.15
887,777.51,-1149.6,679.71
888,787.29,-1144.9,684.6
889,762.84,-1168.6,665.04
890,782.4,-1149.6,679.71
891,792.18,-1144.9,689.49
892,762.84,-1168.6,665.04
893,787.29,-1149.6,684.6
894,792.18,-1135.4,689.49
895,767.73,-1163.9,665.04
896,787.29,-1154.4,684.6
897,792.18,-1135.4,689.49
898,762.84,-1163.9,665.04
899,782.4,-1154.4,679.71
900,792.18,-1140.1,689.49
901,772.62,-1163.9,669.93
902,782.4,-1154.4,679.71
903,797.07,-1135.4,689.49
904,772.62,-1163.9,669.93
905,782.4,-1154.4,679.71
906,792.18,-1140.1,689.49
907,767.73,-1159.1,669.93
908,777.51,-1154.4,674.82
909,792.18,-1144.9,694.38
910,767.73,-1159.1,669.93
911,777.51,-1154.4,679.71
912,792.18,-1140.1,689.49
913,772.62,-1159.1,669.93
914,777.51,-1154.4,674.82
915,792.18,-1140.1,689.49
916,772.62,-1159.1,669.93
917,777.51,-1159.1,674.82
918,792.18,-1140.1,689.49
919,772.62,-1159.1,669.93
920,777.51,-1154.4,679.71
921,787.29,-1144.9,689.49
922,772.62,-1159.1,674.82
923,777.51,-1154.4,674.82
924,787.29,-1140.1,689.49
